CHR	startp	endp	n.sgRNAs	avg.logFC	guideIdx
22	21983420	21997298	15	0.1449	84638, 84652
22	22025322	22035624	4	-2.3533	84653, 84656
22	22040765	24944032	179	-0.0616	84657, 84835
22	24953709	24964000	4	-4.0504	84836, 84839
22	24963996	30722754	252	-0.0131	84840, 85091
22	30738237	30738340	2	-3.2128	85092, 85093
22	30738792	30951992	43	-0.0154	85094, 85136
22	30977329	30983380	5	-2.1377	85137, 85141
22	31007041	31998620	81	0.0591	85142, 85222
22	32017441	32017850	3	-4.0542	85223, 85225
22	32019727	35782948	96	0.0176	85226, 85321
22	35796542	35809893	5	-1.0439	85322, 85326
22	35942993	36902300	56	0.0679	85327, 85382
22	36914855	36921767	4	-2.4254	85383, 85386
22	36922061	38355387	178	0.007	85387, 85564
22	38355419	38379707	9	-3.5619	85565, 85573
22	38455289	39067143	60	-0.0562	85574, 85633
22	39078344	39078910	5	-1.917	85634, 85638
22	39085099	39629517	77	-0.0035	85639, 85715
22	39713464	39714432	5	-4.1462	85716, 85720
22	39770313	41833185	132	-0.2713	85721, 85852
22	41863459	41863580	5	-3.9259	85853, 85857
22	41895849	41968112	12	-1.3226	85858, 85869
22	41968129	42003332	13	-0.0155	85870, 85882
22	42032154	42043047	5	-2.1027	85883, 85887
22	42071065	42076281	5	-5.5308	85888, 85892
22	42086794	42322663	25	0.1069	85893, 85917
22	42335108	42342465	10	-1.4284	85918, 85927
22	42381994	50944778	394	-0.017	85928, 86321
22	50954929	50956220	5	-1.6979	86322, 86326
22	50962313	51215160	50	-0.0582	86327, 86376
23	306271	10535390	130	0.3196	86377, 86506
23	11133024	11136700	5	-0.7082	86507, 86511
23	11197549	13727262	66	0.2168	86512, 86577
23	13734680	13734792	4	-1.6079	86578, 86581
23	13753443	14038333	11	0.2511	86582, 86592
23	14038348	14038552	4	-1.1255	86593, 86596
